id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1157409581546727422,Primavera 2º Esq,577535235,Sittium,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14467,-8.60322,Entire home/apt,155,2,0,,,5,325,0,144149/AL
1157759204756406757,New Oporto São Bento - Apartamento Deluxe,29882280,Paulo,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14518019020109,-8.610578995819022,Entire home/apt,157,2,0,,,7,117,0,22694/AL
1157780016104033257,Magnificent Downtown Apartment by Unique Hosts,444283165,Unique Hosts,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14357,-8.61244,Entire home/apt,107,2,5,2024-08-25,1.35,28,347,5,156120/AL
1157864456504660540,Sister's bedroom,562242703,Wanda,MATOSINHOS,Matosinhos e Leça da Palmeira,41.179704096137364,-8.68894260949998,Private room,60,2,1,2024-06-19,0.34,8,284,1,153182/AL
1157901206418828644,AM Haven Studio 1ºF - by Unique Hosts,444283165,Unique Hosts,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15508,-8.61443,Entire home/apt,94,1,6,2024-08-16,1.64,28,339,6,149918/AL
1149973808544264390,"Maison Lima
C/ piscina a 100m da praia",138736291,Antonio,PÓVOA DE VARZIM,"Póvoa de Varzim, Beiriz e Argivai",41.39033,-8.77144,Entire home/apt,124,2,0,,,1,23,0,53284/AL
1149984083982539924,Downtown Minimalistic Loft VII,354025501,Oliver,PORTO,Bonfim,41.1427232,-8.5983857,Entire home/apt,36,1,3,2024-06-16,0.74,5,304,3,106963/AL
1150001600173243171,Ground level house with patio,17608050,Cristiano,VILA NOVA DE GAIA,Canidelo,41.1267583,-8.637379899999999,Entire home/apt,76,2,12,2024-09-06,3.71,3,248,12,136024/AL
1150023408121434130,Contramaréboat Afurada,540936975,Contramaré,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.1450491,-8.6445303,Entire home/apt,65,1,2,2024-08-09,1.11,4,270,2,Exempt
1150175647779290447,Alegria Colour Apartments - Orange VI,217922612,Geoatlântico,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1506568,-8.605366499999999,Entire home/apt,117,2,1,2024-06-23,0.36,20,330,1,133540/AL
