id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
24900291,Origami Porto Deluxe Suite,50479844,Bharat,VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso,41.12748,-8.60533,Private room,60,1,8,2022-11-10,0.50,4,223,4,62935/AL
24900967,Origami Porto Double room with shared bathroom,50479844,Bharat,VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso,41.12886,-8.60642,Shared room,50,1,11,2022-11-27,0.32,4,190,9,62935/AL
24901207,Origami Porto Twin Room,50479844,Bharat,VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso,41.12965,-8.60634,Private room,50,1,39,2022-11-20,1.16,4,218,25,62935/AL
24902098,Dirk Apartment - Almada 3º T by LovelyStay,187991587,Dirk,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14689,-8.61221,Entire home/apt,44,2,145,2022-11-26,2.69,2,131,39,70596/AL
24649198,"Casa Celeste, o paraíso ao seu alcance...",186278142,Silvana,PÓVOA DE VARZIM,Balazar,41.39889,-8.62081,Entire home/apt,300,2,13,2022-09-25,0.73,1,341,6,116157/AL
24916415,Jomi House Permit 68030/Al,55132573,Vanessa,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15154,-8.61394,Entire home/apt,45,3,101,2022-09-23,1.80,3,51,8,68030/AL
24916558,L'appartement d'Antoine.,188375525,Antoine,VILA NOVA DE GAIA,Canidelo,41.13386,-8.64899,Private room,25,4,60,2022-10-16,1.09,1,234,13,05712128
24918142,WOODBOX,188020310,Luis,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.1242,-8.62005,Private room,39,1,21,2022-11-18,5.08,3,266,21,012056
24918712,"Casa de Gaia, A view to Douro River",42044160,Alvaro,VILA NOVA DE GAIA,Oliveira do Douro,41.13466,-8.59894,Entire home/apt,53,2,265,2022-11-27,4.76,2,248,58,69956/AL
24919048,Cozy Porto & Boavista - Metro + Bus + Free Parking,150580197,Maria,PORTO,Paranhos,41.1665,-8.61799,Entire home/apt,49,7,22,2022-01-31,0.41,1,0,2,70923/AL
24930091,Porto Blue Terrace,188482572,Blue,PORTO,Bonfim,41.14677,-8.60174,Entire home/apt,70,2,25,2022-09-21,0.47,1,318,7,71025/AL
24932200,Casa Anselmo - Quarto Casal II,69779137,Helder,PORTO,Bonfim,41.15267,-8.602,Private room,25,4,3,2018-08-24,0.06,9,0,0,Exempt
25130140,OPORTO GUEST Downtown 2,49819978,Oporto Guest,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15091,-8.61421,Entire home/apt,36,2,47,2022-11-09,0.85,22,362,23,71986/AL
25154663,XYZ  Atelier  Flat,26360171,Tiago,PORTO,"Aldoar, Foz do Douro e Nevogilde",41.15471,-8.67807,Entire home/apt,75,2,105,2022-10-23,1.90,2,341,36,72026/AL
24650836,Póvoa de Varzim - Garrett Rooftop (30min Porto),149831525,Mónica E José,PÓVOA DE VARZIM,"Póvoa de Varzim, Beiriz e Argivai",41.38088,-8.76561,Entire home/apt,47,3,22,2022-08-28,0.42,1,67,7,80620/AL
24654203,BessaApartments 2B-Porto,185229778,Manuela Batista,PORTO,Ramalde,41.16176,-8.64367,Entire home/apt,95,1,9,2022-10-08,0.16,5,356,2,68757/AL
